DepMap_ID,stripped_cell_line_name,CCLE_Name,Alias,COSMICID,sex,source,Achilles_n_replicates,cell_line_NNMD,culture_type,culture_medium,cas9_activity,RRID,sample_collection_site,primary_or_metastasis,primary_disease,Subtype,TCGA_subtype,age,Sanger_Model_ID,WTSI_Master_Cell_ID,depmap_public_comments,lineage,lineage_subtype,lineage_sub_subtype,lineage_molecular_subtype,PatientID,DepmapModelType,OncotreeCode,PatientMolecularSubtype,AgeCategory,PatientRace,SourceDetail,TreatmentStatus,TreatmentDetails,OnboardedMedia,EngineeredModel,TissueOrigin,CatalogNumber,PlateCoating,ModelDerivationMaterial
ACH-000001,NIHOVCAR3,NIHOVCAR3_OVARY,NIH:OVCAR-3,9059330.0,Female,ATCC,,,Adherent,RPMI + 20% FBS + 0.01 mg/ml insulin,,CVCL_0465,ascites,Metastatic,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,OV,60.0,SIDM00105,22010.0,,Ovary/Fallopian Tube,ovary_adenocarcinoma,high_grade_serous,,PT-gj46wT,HGSOC,HGSOC,,Adult,caucasian,ATCC,,,MF-001-041,,,HTB-71,,
ACH-000002,HL60,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HL-60,9059380.0,Female,ATCC,,,Suspension,IMDM + 10% FBS,,CVCL_0002,haematopoietic_and_lymphoid_tissue,Primary,Acute Myeloid Leukemia,Acute Myeloid Leukemia,LAML,36.0,SIDM00829,550.0,,Myeloid,AML,M3,,PT-5qa3uk,AML,AML,,Adult,caucasian,ATCC,,,MF-005-001,,,CCL-240,,
ACH-000003,CACO2,CACO2_LARGE_INTESTINE,CACO2,,Male,ATCC,,,Adherent,EMEM + 20% FBS,,CVCL_0025,Colon,Primary,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD,72.0,SIDM00891,,,Bowel,colorectal_adenocarcinoma,,,PT-puKIyc,COAD,COAD,,Adult,caucasian,ATCC,Unknown,,MF-015-009,,,HTB-37,,
ACH-000004,HEL,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL,9070530.0,Male,DSMZ,2.0,"-3,079202028",Suspension,RPMI + 10% FBS,"52,4",CVCL_0001,haematopoietic_and_lymphoid_tissue,Primary,Acute Myeloid Leukemia,Acute Myeloid Leukemia,LAML,30.0,SIDM00594,7830.0,,Myeloid,AML,M6,,PT-q4K2cp,AML,AML,,Adult,caucasian,DSMZ,Post-treatment,,MF-001-001,,,ACC 11,,
ACH-000005,HEL9217,HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL 92.1.7,,Male,ATCC,2.0,"-2,404409173",Mixed,RPMI + 10% FBS,"86,6",CVCL_2481,bone_marrow,,Acute Myeloid Leukemia,Acute Myeloid Leukemia,LAML,30.0,SIDM00593,,,Myeloid,AML,M6,,PT-q4K2cp,AML,AML,,Adult,caucasian,ATCC,,,MF-001-001,,,HEL9217,,
ACH-000006,MONOMAC6,MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MONO-MAC-6,9081480.0,Male,DSMZ,,,Suspension,RPMI + 10% FBS,,CVCL_1426,haematopoietic_and_lymphoid_tissue,Primary,Acute Myeloid Leukemia,Acute Monoblastic/Monocytic Leukemia,LAML,64.0,SIDM01023,21670.0,,Myeloid,AML,M5,,PT-ej13Dz,AMOL,AMOL,,Adult,,DSMZ,,,MF-001-001,,,ACC 124,,
ACH-000007,LS513,LS513_LARGE_INTESTINE,LS513,9077950.0,Male,ATCC,2.0,"-2,586707623",Adherent,RPMI + 10% FBS,"47,7",CVCL_1386,large_intestine,Primary,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD,63.0,SIDM00677,5690.0,,Bowel,colorectal_adenocarcinoma,,,PT-NOXwpH,COAD,COAD,,Adult,caucasian,ATCC,,,MF-001-001,,,CRL-2134,,
ACH-000008,A101D,A101D_SKIN,A101D,9109210.0,Male,ATCC,,,Adherent,DMEM + 10% FBS,,CVCL_1057,skin,Primary,Melanoma,Melanoma,SKCM,56.0,SIDM00801,18060.0,,Skin,melanoma,,,PT-fp8PeY,MEL,MEL,,Adult,caucasian,ATCC,,,MF-002-001,,,CRL-7898,,
ACH-000009,C2BBE1,C2BBE1_LARGE_INTESTINE,C2BBe1,9107000.0,Male,ATCC,3.0,"-4,135491417",Adherent,DMEM + 10% FBS + 0.01 mg/ml Transferrin,"94,2",CVCL_1096,Colon,Primary,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD,72.0,SIDM01233,21040.0,,Bowel,colorectal_adenocarcinoma,,,PT-puKIyc,COAD,COAD,,Adult,caucasian,ATCC,,,MF-002-021,,,CRL-2102,,
ACH-000011,253J,253J_URINARY_TRACT,253J,,Male,KCLB,1.0,"-3,180379380",Adherent,DMEM + 10% FBS,89,CVCL_7935,lymph_node,Metastatic,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA,53.0,,,,Bladder/Urinary Tract,bladder_carcinoma,,,PT-AR7W9o,BLCA,BLCA,,Adult,,KCLB,,,MF-002-001,,,80001,,
ACH-000012,HCC827,HCC827_LUNG,HCC-827,12401460.0,Female,ATCC,3.0,"-4,242997806",Adherent,RPMI + 10% FBS,"87,3",CVCL_2063,lung,Primary,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,39.0,SIDM01067,3540.0,,Lung,NSCLC,NSCLC_adenocarcinoma,,PT-NdspH5,LUAD,LUAD,,Adult,caucasian,ATCC,,,MF-001-001,,,CRL-2868,,
ACH-000013,ONCODG1,ONCODG1_OVARY,ONCO-DG-1,,Female,DSMZ,2.0,"-5,319862199",Adherent,RPMI + 10% FBS,92,CVCL_1882,ascites,Metastatic,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,OV,60.0,SIDM00093,,SNP fingerprinting confirms that this line is an OVCAR-3 derivative. DepMap metadata has been updated (as of 22Q2) to reflect this.,Ovary/Fallopian Tube,ovary_adenocarcinoma,high_grade_serous,,PT-gj46wT,HGSOC,HGSOC,,Adult,caucasian,DSMZ,,,MF-001-001,,,ACC 507,,
ACH-000014,HS294T,HS294T_SKIN,Hs 294T,,Male,ATCC,2.0,"-3,484986488",Adherent,DMEM + 10% FBS,"84,9",CVCL_0331,lymph_node,Metastatic,Melanoma,Melanoma,SKCM,56.0,SIDM00800,,,Skin,melanoma,,,PT-fp8PeY,MEL,MEL,,Adult,caucasian,ATCC,,,MF-002-001,,,HTB-140,,
